fp	LawNum	LawTitle	LawType	Era	Year	Num
平成21年/421M60000800005_20161001_000000000000000.xml	平成二十一年国土交通省令第五号	エネルギーの使用の合理化等に関する法律の規定に基づく登録建築物調査機関等に関する省令	MinisterialOrdinance	Heisei	21	005
平成28年/428M60000400093_20161001_000000000000000.xml	平成二十八年経済産業省令第九十三号	使用済燃料再処理機構の財務及び会計に関する省令	MinisterialOrdinance	Heisei	28	093
平成11年/411M50000008035_20191105_501M60000008006.xml	平成十一年自治省令第三十五号	住民基本台帳法施行規則	MinisterialOrdinance	Heisei	11	35
昭和29年/329AC0000000194_20170401_999AC0000000194.xml	昭和二十九年法律第百九十四号	遺産、相続及び贈与に対する租税に関する二重課税の回避及び脱税の防止のための日本国とアメリカ合衆国との間の条約の実施に伴う相続税法の特例等に関する法律	Act	Showa	29	194
昭和44年/344CO0000000121_20200513_502CO0000000167.xml	昭和四十四年政令第百二十一号	行政機関職員定員令	CabinetOrder	Showa	44	121
昭和57年/357CO0000000044_20200401_501CO0000000139.xml	昭和五十七年政令第四十四号	協同組合による金融事業に関する法律施行令	CabinetOrder	Showa	57	44
平成11年/411M50000100054_20161001_000000000000000.xml	平成十一年厚生省令第五十四号	国民年金法等の一部を改正する法律の一部を改正する法律附則第二項の規定による還付の請求手続に関する省令	MinisterialOrdinance	Heisei	11	054
平成26年/426AC0000000133_20150801_000000000000000.xml	平成二十六年法律第百三十三号	原子力損害の補完的な補償に関する条約の実施に伴う原子力損害賠償資金の補助等に関する法律	Act	Heisei	26	133
平成23年/423M60000100086_20161001_000000000000000.xml	平成二十三年厚生労働省令第八十六号	平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての介護保険法施行規則の臨時特例に関する省令	MinisterialOrdinance	Heisei	23	086
平成4年/404AC0000000090_20190401_430AC0000000071.xml	平成四年法律第九十号	労働時間等の設定の改善に関する特別措置法	Act	Heisei	04	90
昭和51年/351M50010000036_20191227_501M60000200037.xml	昭和五十一年農林省令第三十六号	飼料の安全性の確保及び品質の改善に関する法律施行規則	MinisterialOrdinance	Showa	51	036
平成18年/418M60000800079_20161001_000000000000000.xml	平成十八年国土交通省令第七十九号	鉄道事業動力車操縦者資質管理報告規則	MinisterialOrdinance	Heisei	18	79
平成21年/421M60000010051_20171101_429M60000010019.xml	平成二十一年法務省令第五十一号	出入国管理及び難民認定法第二十条の二第二項の基準を定める省令	MinisterialOrdinance	Heisei	21	51
平成15年/415M60000008005_20191214_501M60000008062.xml	平成十五年総務省令第五号	郵便法施行規則	MinisterialOrdinance	Heisei	15	5
昭和28年/328CO0000000124_20150801_000000000000000.xml	昭和二十八年政令第百二十四号	消防施設強化促進法施行令	CabinetOrder	Showa	28	124
平成17年/417CO0000000329_20150801_000000000000000.xml	平成十七年政令第三百二十九号	平成十七年九月一日から同月八日までの間の豪雨及び暴風雨による災害についての激甚災害並びにこれに対し適用すべき措置の指定に関する政令	CabinetOrder	Heisei	17	329
